Number,Title,Price,Item ID,Global ID,Category,Payment Method,Country,Selling State,Start Time,End Time
1,Ball Mason Jars Pint ( 16 Oz ) Regular Mouth Bands And Dome Lids 12 / Box,18.99,272664467574,EBAY-US,Jars,PayPal,USA,Active,2017-05-09,2017-12-05
2,6 Vintage Blue Ball Perfect Mason Pint Jars,15.0,172994906924,EBAY-US,Jars,PayPal,"Transfer,PA,USA",Active,2017-11-23,2017-11-30
3,Quart sized Blue Ball Perfect Mason Jar,4.99,253264916882,EBAY-US,Jars,PayPal,"Pittsburgh,PA,USA",Active,2017-11-18,2017-12-18
4,"Anchor Hocking Pint Mason Glass Canning Jars with Lids and Bands, Set of 12",17.53,122733644211,EBAY-US,Jars,PayPal,USA,Active,2017-10-01,2017-11-30
5,"Ball 68100 Wide Mouth Mason Canning Jars, Half Gallon (64 Oz), Box Of 6",22.28,132136735773,EBAY-US,Jars,PayPal,"Brooklyn,NY,USA",Active,2017-03-24,2017-12-19
6,Vintage Ball Perfect Mason Half Gallon Jar with Zinc Lid,9.95,152798858931,EBAY-US,Jars,PayPal,"Rush City,MN,USA",Active,2017-11-23,2017-12-23
7,Ball Mason Jars 16 Oz Wide Mouth Lids 4 Set Clear Glass Canning Fruit Jams Oats,13.6,302345011076,EBAY-US,Jars,PayPal,"Joliet,IL,USA",Active,2017-06-09,2017-12-06
8,Mason Canning Jars Purple Pint Ball Lids 6-Set 16 Oz Vintage Style Wedding Event,20.69,391921916010,EBAY-US,Jars,PayPal,"Virginia Beach,VA,USA",Active,2017-11-07,2017-12-07
9,Ball Regular Mouth Smooth Sided Mason Jars 32oz Quart Canning Jams Lids 12 Set,13.49,282741901710,EBAY-US,Jars,PayPal,"Westbury,NY,USA",Active,2017-11-21,2017-12-21
10,Vintage Mason's Patent Nov 30th 1858  Pint Green Cross,15.99,282741640627,EBAY-US,Jars,PayPal,"Canfield,OH,USA",Active,2017-11-20,2017-11-27
11,Vintage Amber Qrt Ball Mason Jar 1976 Repro (38 year old jar) BBGMCO Very Rare,21.95,282493704254,EBAY-US,Jars,PayPal,USA,Active,2017-05-25,2017-12-21
12,Ball Mason Jar-16 oz. Aqua Blue Glass Wide Mouth,7.97,172991875110,EBAY-US,Jars,PayPal,USA,Active,2017-11-21,2017-12-21
13,Olive Green Ball Perfect Mason pint jar #8,129.99,272950439707,EBAY-US,Jars,PayPal,"Clark,MO,USA",Active,2017-11-23,2017-11-30
14,"Ball Pint Mason Jars, 16 oz., Set of 12",18.11,263241847285,EBAY-US,Jars,PayPal,"Fort Lauderdale,FL,USA",Active,2017-10-02,2017-12-01
15,Ball - Wide Mouth 64 oz. Half Gallon Mason Jars - 6 Count,13.6,282679888736,EBAY-US,Jars,PayPal,"Leetsdale,PA,USA",Active,2017-10-03,2017-12-02
16,"Ball Mason Glass Jars Half Gallon 64 Oz Wide Mouth with Lids and Bands, Set of 6",21.48,122782740583,EBAY-US,Canisters & Jars,PayPal,USA,Active,2017-10-30,2017-11-29
17,Vintage Blue Ball 1 Qr Perfect Mason Jar Lamp Light,10.45,272951211358,EBAY-US,Jars,PayPal,"Springfield,KY,USA",Active,2017-11-23,2017-12-23
18,Vintage Lot 7 Blue Fruit Jars 1 Clear Atlas Ball Mason 2 Quart 6 Half Gallon,3.25,372143814308,EBAY-US,Jars,PayPal,"Versailles,MO,USA",Active,2017-11-21,2017-11-28
19,NEW 12 Pack 8 OZ Mason Jars w/ Lids Canning Ball Regular Mouth Half Pint Wedding,18.87,182905214303,EBAY-US,Jars,PayPal,USA,Active,2017-11-16,2017-12-16
20,"Strittmatter's Aqua Blue Embossed Ball Mason Honey Jar Ebensburg, PA Bumble Bee",260.0,302534694427,EBAY-US,Jars,PayPal,"Mogadore,OH,USA",Active,2017-11-19,2017-11-26
21,1 Ball 64oz Wide Mouth Half Gallon Mason Jar New,8.05,282413492649,EBAY-US,Jars,PayPal,"Chicago,IL,USA",Active,2017-03-28,2017-11-23
22,Ball - Smooth Sided Regular Mouth Quart Mason Jars - 12 Count,13.29,272874312198,EBAY-US,Jars,PayPal,"Leetsdale,PA,USA",Active,2017-10-04,2017-12-03
23,Mason's Patent Nov 30TH Midget Pint Fruit Jar Cross Reverse Cobalt Blue Base 46,12.88,292341648035,EBAY-US,Jars,PayPal,"Berwyn,IL,USA",Active,2017-11-22,2017-11-29
24,Dark Pink Jordin Mason Jar Quart,8.99,222728506160,EBAY-US,Jars,PayPal,"Thompsons Station,TN,USA",Active,2017-11-22,2017-12-22
25,12 Pack Ball Mason Quart Jars 32 Oz Wide Mouth Quart Jar Quart Canning Jars Lot,18.0,112575417209,EBAY-US,Jars,PayPal,"Statesville,NC,USA",Active,2017-09-24,2017-12-23
26,OLIVE GREEN – AMBER SWIRLS – BALL PERFECT MASON FRUIT JAR - PINT,51.0,172994112842,EBAY-US,Jars,PayPal,"Vineland,NJ,USA",Active,2017-11-22,2017-11-29
27,Ball - Regular Mouth 16 oz. Drinking Mason Jars - 4 Pack,8.92,282679862064,EBAY-US,Jars,PayPal,"Leetsdale,PA,USA",Active,2017-10-03,2017-12-02
28,"Vintage Atlas Strong Shoulder Mason Mini Glass Jar Coin Bank Original 3 1/2""",3.5,302539848571,EBAY-US,Jars,PayPal,"Middlebury Center,PA,USA",Active,2017-11-22,2017-11-29
29,2) 1920-30's BALL PERFECT MASON Quart fruit jar bottle GREEN SWIRL w/ zinc lid,99.0,312005505217,EBAY-US,Jars,PayPal,"Jenison,MI,USA",Active,2017-11-18,2017-11-25
30,Rare Ball Mason #234 HG Light Green Amber Swirls Drip Sides Beautiful Glass Jar,600.0,332440454434,EBAY-US,Jars,PayPal,"Champaign,IL,USA",Active,2017-11-21,2017-11-28
